queue	key	label	source	source_id	hint
review-readiness	CHEBI:47351	(1S,3R)-2,2-dichloro-N-[(1R)-1-(4-chlorophenyl)ethyl]-1-ethyl-3-methylcyclopropanecarboxamide	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:65905	(1S,3S,4R,7S,8S,11S,12S,13S,15R,20R)-7-formamido-20-isocyanoisocycloamphilectane	CHEBI	PMID:19199790	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:42680	(2-cis,6-cis)-farnesol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:16774	(2-cis,6-trans)-farnesol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:35966	(2-trans,6-cis)-farnesol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:16619	(2-trans,6-trans)-farnesol	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:28913	(2E)-hexenal	CHEBI	PMID:21548650|PMID:22177713|PMID:22417509|PMID:22420267|PMID:22978292	MECHANISM_REVIEW: mechanism is absent; 10 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:65995	(2E,6Z)-13-hydroxy-1-(2-hydroxy-5-methoxy-3-methylphenyl)-3,7,11,15-tetramethylhexadeca-2,6,14-triene-5,12-dione	CHEBI	PMID:18529079	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:141292	(2R)-2-[(1R)-4-methylcyclohex-3-en-1-yl]propanoic acid	CHEBI	PMID:27448166	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:83301	(2R,6R)-4-dodecyl-2,6-dimethylmorpholine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:67371	(2S)-2'-hydroxydemethoxymatteucinol	CHEBI	PMID:21542597	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:70654	(2S)-2,7-dihydroxy-5-methoxy-6,8-dimethylflavanone	CHEBI	PMID:20886838	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
