source_version	source_table	activity_group_id	drug_code	source_name	identifier	standard_inchi_key	mic_value	mic_qualifier	mic_units	row_count	isolate_count	site_count	source	method_1	method_2	method_3	method_cc	method_mic	phenotype	quality	platedesign	belongs_gpi	phenotype_quality	readingday	primary_method	phenotype_description	mic	log2mic	binary_phenotype
3.4.0	DST_MEASUREMENTS	dst_measurements:7d1448f69f65e964	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	4.0		mg/L	9	9		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	4.0	R	LOW
3.4.0	DST_MEASUREMENTS	dst_measurements:a439afb789cd3938	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	4.0		mg/L	2	2		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	4.0	R	MEDIUM
3.4.0	DST_MEASUREMENTS	dst_measurements:a7c6f36ab7de0570	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	8.0		mg/L	18	18		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	8.0	R	HIGH
3.4.0	DST_MEASUREMENTS	dst_measurements:b5d0e519c469c78d	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	8.0		mg/L	4	4		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	8.0	R	LOW
3.4.0	DST_MEASUREMENTS	dst_measurements:e95d2d321f31fba2	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	8.0		mg/L	3	3		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	8.0	R	MEDIUM
3.4.0	DST_MEASUREMENTS	dst_measurements:4507779f8b801cc1	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	0.25	<=	mg/L	3462	3462		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	<=0.25	S	HIGH
3.4.0	DST_MEASUREMENTS	dst_measurements:b5376e1c51e7a23e	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	0.25	<=	mg/L	345	345		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	<=0.25	S	LOW
3.4.0	DST_MEASUREMENTS	dst_measurements:a5b30cdfa691f6bf	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	0.25	<=	mg/L	659	659		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	<=0.25	S	MEDIUM
3.4.0	DST_MEASUREMENTS	dst_measurements:af5627b2a3bd4245	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	8	>	mg/L	366	366		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	>8	R	HIGH
3.4.0	DST_MEASUREMENTS	dst_measurements:0233a6cf1d0e5877	AMI	AMIKACIN	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	8	>	mg/L	6	6		CRyPTIC	liquid media	microdilution plate	UKMYC5	1.0	>8	R	LOW
